Word,Translation,Part of Speech,Example Sentence,Example Translation
enquiry,สอบถามรายละเอียดเพิ่มเติม,n.,"""He sent an enquiry to inquire about the product.""","""เขาส่งคำถามเพื่อสอบถามเกี่ยวกับผลิตภัณฑ์"""
ensure,ทำให้มั่นใจ,v.,"""We need to ensure everyone's safety.""","""เราจำเป็นต้องรับรองความปลอดภัยของทุกคน"""
enthusiasm,ความกระตือรือร้น,n.,"""Her enthusiasm for the project is contagious.""","""ความกระตือรือร้นของเธอสำหรับโครงการนี้ติดต่อได้"""
enthusiastic,กระตือรือร้น,adj.,"""The team is enthusiastic about the upcoming event.""","""ทีมงานมีความกระตือรือร้นเกี่ยวกับงานที่จะเกิดขึ้น"""
entire,ทั้งหมด,adj.,"""The entire family gathered for the celebration.""","""ทั้งครอบครัวมารวมตัวกันเพื่อเฉลิมฉลอง"""
entirely,โดยสิ้นเชิง,adv.,"""The task was entirely completed on time.""","""งานเสร็จตรงเวลาทั้งหมด"""
equal,เท่ากัน,n.,"""All employees are equal in the company.""","""พนักงานทุกคนมีความเท่าเทียมกันในบริษัท"""
establish,สร้าง,v.,"""They plan to establish a new business.""","""พวกเขาวางแผนที่จะสร้างธุรกิจใหม่"""
estate,อสังหาริมทรัพย์,n.,"""The estate is vast and beautiful.""","""ที่ดินกว้างขวางและสวยงาม"""
extract,สารสกัด,n,"""Can you estimate the cost of the project?""","""คุณสามารถประมาณต้นทุนของโครงการได้หรือไม่?"""
ethical,มีจริยธรรม,adj.,"""Let's edit the document for errors.""","""มาแก้ไขเอกสารเพื่อหาข้อผิดพลาด"""
evaluate,ประเมิน,v.,"""The latest edition of the book is available.""","""หนังสือฉบับล่าสุดวางจำหน่ายแล้ว"""
even,สม่ำเสมอ,adj.,"""Energy-efficient appliances save electricity.""","""เครื่องใช้ไฟฟ้าประหยัดพลังงานประหยัดพลังงานไฟฟ้า"""
evil,ความชั่วร้าย,adj./ n.,"""The elderly woman needed assistance.""","""หญิงสูงอายุต้องการความช่วยเหลือ"""
examination,การตรวจสอบ,n.,"""Citizens will elect their representatives.""","""ประชาชนจะเลือกผู้แทนของตน"""
excuse,ขอโทษ,n./ v.,"""Let's explore elsewhere for our vacation.""","""ไปเที่ยวพักผ่อนที่อื่นกันดีกว่า"""
executive,ผู้บริหาร,n./ adj.,"""New opportunities may emerge in unexpected places.""","""โอกาสใหม่ๆ อาจเกิดขึ้นในสถานที่ที่ไม่คาดคิด"""
existence,การดำรงอยู่,n.,"""The existence of life on other planets is a topic of exploration.""","""การดำรงอยู่ของสิ่งมีชีวิตบนดาวเคราะห์ดวงอื่นเป็นหัวข้อของการสำรวจ"""
expectation,ความคาดหวัง,n.,"""Her expectation was that the project would succeed.""","""ความคาดหวังของเธอคือโครงการจะประสบความสำเร็จ"""
expense,ค่าใช้จ่าย,n.,"""Managing expenses is crucial for financial stability.""","""การจัดการค่าใช้จ่ายเป็นสิ่งสำคัญสำหรับความมั่นคงทางการเงิน"""
